ts_code,hold_ratio,top_10_d_r
002345.SZ,54.06,54.06
002346.SZ,82.43,82.43
002347.SZ,43.18,43.18
002348.SZ,58.13,58.13
002349.SZ,65.23,65.23
002350.SZ,57.05,57.05
002351.SZ,63.07,63.07
002352.SZ,76.34999999999998,76.34999999999998
002353.SZ,59.25,59.25
002354.SZ,41.18000000000001,41.18000000000001
002355.SZ,43.61,43.61
002356.SZ,62.8,62.8
002357.SZ,51.63,51.63
002358.SZ,44.63,44.63
002360.SZ,37.53,37.53
002361.SZ,42.16,42.16
002362.SZ,43.06,43.06
002363.SZ,48.51,48.51
002364.SZ,50.92,50.92
002365.SZ,34.02,34.02
