ts_code,hold_ratio,top10_d_r
002044.SZ,24.683799999999998,24.683799999999998
002045.SZ,40.50999999999999,40.50999999999999
002046.SZ,63.489999999999995,63.489999999999995
002047.SZ,37.730000000000004,37.730000000000004
002048.SZ,41.07,41.07
002049.SZ,32.39,32.39
002050.SZ,62.87,62.87
002051.SZ,67.33999999999999,67.33999999999999
002052.SZ,37.800000000000004,37.800000000000004
002053.SZ,82.59,82.59
002054.SZ,56.17,56.17
002055.SZ,41.519999999999996,41.519999999999996
002056.SZ,63.37,63.37
002057.SZ,44.510000000000005,44.510000000000005
002058.SZ,54.52,54.52
002059.SZ,74.96,74.96
002060.SZ,39.660000000000004,39.660000000000004
002061.SZ,73.46,73.46
002062.SZ,59.529999999999994,59.529999999999994
002063.SZ,35.32,35.32
002064.SZ,77.91,77.91
002065.SZ,48.45,48.45
002066.SZ,50.61,50.61
002067.SZ,21.28,21.28
002068.SZ,59.76,59.76
002069.SZ,59.65,59.65
002071.SZ,40.019999999999996,40.019999999999996
002072.SZ,28.529999999999998,28.529999999999998
002073.SZ,32.400000000000006,32.400000000000006
002074.SZ,38.91,38.91
002075.SZ,48.11,48.11
002076.SZ,38.09,38.09
002077.SZ,61.92,61.92
002078.SZ,58.14999999999999,58.14999999999999
002079.SZ,41.11000000000001,41.11000000000001
002080.SZ,68.98,68.98
002081.SZ,61.51,61.51
002082.SZ,63.92000000000001,63.92000000000001
002083.SZ,40.730000000000004,40.730000000000004
002084.SZ,53.19,53.19
002085.SZ,61.36999999999999,61.36999999999999
002086.SZ,48.370000000000005,48.370000000000005
002087.SZ,33.57,33.57
002088.SZ,53.50999999999999,53.50999999999999
002089.SZ,40.95,40.95
002090.SZ,45.510000000000005,45.510000000000005
002091.SZ,57.03999999999999,57.03999999999999
002092.SZ,43.4,43.4
002093.SZ,59.86,59.86
002094.SZ,44.41,44.41
002095.SZ,55.10000000000001,55.10000000000001
002096.SZ,70.45,70.45
002097.SZ,47.269999999999996,47.269999999999996
002098.SZ,65.64,65.64
002099.SZ,49.660000000000004,49.660000000000004
002100.SZ,52.19,52.19
002101.SZ,62.4,62.4
002102.SZ,45.24999999999999,45.24999999999999
002103.SZ,54.0,54.0
002104.SZ,26.52,26.52
002105.SZ,48.07,48.07
002106.SZ,36.72,36.72
002107.SZ,56.67,56.67
002108.SZ,40.410000000000004,40.410000000000004
002109.SZ,71.63,71.63
002110.SZ,64.05,64.05
002111.SZ,51.25,51.25
002112.SZ,44.79,44.79
002113.SZ,52.12,52.12
002114.SZ,38.2,38.2
002115.SZ,37.9,37.9
002116.SZ,68.66999999999999,68.66999999999999
002117.SZ,39.29,39.29
002118.SZ,49.89,49.89
002119.SZ,42.85,42.85
002120.SZ,72.05999999999999,72.05999999999999
002121.SZ,56.190000000000005,56.190000000000005
002122.SZ,39.94,39.94
002123.SZ,38.580000000000005,38.580000000000005
002124.SZ,43.11000000000001,43.11000000000001
002125.SZ,50.04,50.04
002126.SZ,36.279999999999994,36.279999999999994
002127.SZ,45.919999999999995,45.919999999999995
002128.SZ,72.57000000000001,72.57000000000001
002129.SZ,46.21000000000001,46.21000000000001
002130.SZ,27.53,27.53
002131.SZ,25.789999999999996,25.789999999999996
002132.SZ,46.050000000000004,46.050000000000004
002133.SZ,37.7,37.7
002134.SZ,42.83,42.83
002135.SZ,54.89,54.89
002136.SZ,44.66,44.66
002137.SZ,49.129999999999995,49.129999999999995
002138.SZ,33.77000000000001,33.77000000000001
002139.SZ,33.07,33.07
002140.SZ,65.14,65.14
002141.SZ,59.620000000000005,59.620000000000005
002142.SZ,46.16,46.16
002144.SZ,37.58,37.58
002145.SZ,60.01,60.01
002146.SZ,62.33,62.33
002147.SZ,80.44999999999999,80.44999999999999
002148.SZ,31.96,31.96
002149.SZ,47.24999999999999,47.24999999999999
002150.SZ,62.75000000000001,62.75000000000001
002151.SZ,36.69,36.69
002152.SZ,60.10000000000001,60.10000000000001
002153.SZ,84.24,84.24
002154.SZ,34.28999999999999,34.28999999999999
002155.SZ,50.37,50.37
002156.SZ,58.239999999999995,58.239999999999995
002157.SZ,52.48,52.48
002158.SZ,66.17,66.17
002159.SZ,47.620000000000005,47.620000000000005
002160.SZ,41.94,41.94
002161.SZ,32.120000000000005,32.120000000000005
002162.SZ,59.28999999999999,59.28999999999999
002163.SZ,37.120000000000005,37.120000000000005
002164.SZ,51.59,51.59
002165.SZ,40.940000000000005,40.940000000000005
002166.SZ,46.88000000000001,46.88000000000001
002167.SZ,35.620000000000005,35.620000000000005
002168.SZ,31.790000000000003,31.790000000000003
002169.SZ,30.42,30.42
002170.SZ,42.849999999999994,42.849999999999994
002171.SZ,53.129999999999995,53.129999999999995
002172.SZ,43.260000000000005,43.260000000000005
002173.SZ,59.49999999999999,59.49999999999999
002174.SZ,42.66,42.66
002175.SZ,30.91,30.91
002176.SZ,33.4,33.4
002177.SZ,23.35,23.35
002178.SZ,42.23,42.23
002179.SZ,62.54,62.54
002180.SZ,62.79,62.79
002181.SZ,70.80999999999999,70.80999999999999
002182.SZ,46.989999999999995,46.989999999999995
002183.SZ,43.31,43.31
002184.SZ,53.71999999999999,53.71999999999999
002185.SZ,35.22,35.22
002186.SZ,52.150000000000006,52.150000000000006
002187.SZ,66.41999999999999,66.41999999999999
002188.SZ,44.41,44.41
002189.SZ,54.03,54.03
002190.SZ,57.61000000000001,57.61000000000001
002191.SZ,49.72,49.72
002192.SZ,34.080000000000005,34.080000000000005
002193.SZ,62.089999999999996,62.089999999999996
002194.SZ,63.129999999999995,63.129999999999995
002195.SZ,12.57,12.57
002196.SZ,24.52,24.52
002197.SZ,33.66,33.66
002198.SZ,33.87,33.87
002199.SZ,48.93,48.93
002200.SZ,54.17,54.17
002201.SZ,52.06,52.06
002202.SZ,81.51,81.51
002203.SZ,70.44,70.44
002204.SZ,67.25999999999999,67.25999999999999
002205.SZ,42.91,42.91
002206.SZ,50.12,50.12
002207.SZ,45.57,45.57
002208.SZ,70.45,70.45
002209.SZ,51.36000000000001,51.36000000000001
002210.SZ,70.2,70.2
002211.SZ,46.400000000000006,46.400000000000006
002212.SZ,45.06,45.06
002213.SZ,41.1,41.1
002214.SZ,37.68,37.68
002215.SZ,46.04,46.04
002216.SZ,69.61,69.61
002217.SZ,46.58,46.58
002218.SZ,49.169999999999995,49.169999999999995
002219.SZ,62.81,62.81
002221.SZ,42.849999999999994,42.849999999999994
002222.SZ,30.82,30.82
002223.SZ,51.9,51.9
002224.SZ,39.39999999999999,39.39999999999999
002225.SZ,47.48,47.48
002226.SZ,62.61,62.61
002227.SZ,66.60000000000001,66.60000000000001
002228.SZ,50.370000000000005,50.370000000000005
002229.SZ,36.230000000000004,36.230000000000004
002230.SZ,32.58,32.58
002231.SZ,45.730000000000004,45.730000000000004
002232.SZ,59.919999999999995,59.919999999999995
002233.SZ,51.760000000000005,51.760000000000005
002234.SZ,47.14,47.14
002235.SZ,30.150000000000002,30.150000000000002
002236.SZ,57.77,57.77
002237.SZ,49.059999999999995,49.059999999999995
002238.SZ,75.75,75.75
002239.SZ,37.85,37.85
002240.SZ,45.089999999999996,45.089999999999996
002241.SZ,46.550000000000004,46.550000000000004
002242.SZ,82.5,82.5
002243.SZ,81.89,81.89
002244.SZ,74.02,74.02
002245.SZ,32.15,32.15
002246.SZ,61.31,61.31
002247.SZ,46.86,46.86
002248.SZ,31.339999999999996,31.339999999999996
002249.SZ,49.25000000000001,49.25000000000001
002250.SZ,44.28,44.28
002251.SZ,68.3,68.3
002252.SZ,62.36,62.36
002253.SZ,35.309999999999995,35.309999999999995
002254.SZ,36.03,36.03
002255.SZ,43.53,43.53
002256.SZ,49.730000000000004,49.730000000000004
002258.SZ,66.07,66.07
002259.SZ,39.949999999999996,39.949999999999996
002261.SZ,35.23,35.23
002262.SZ,57.519999999999996,57.519999999999996
002263.SZ,32.3,32.3
002264.SZ,63.85999999999999,63.85999999999999
002265.SZ,66.03999999999999,66.03999999999999
002266.SZ,73.61999999999999,73.61999999999999
002267.SZ,72.55999999999999,72.55999999999999
002268.SZ,50.48,50.48
002269.SZ,74.61,74.61
002270.SZ,53.470000000000006,53.470000000000006
002271.SZ,49.440000000000005,49.440000000000005
002272.SZ,36.56,36.56
002273.SZ,28.869999999999997,28.869999999999997
002274.SZ,46.980000000000004,46.980000000000004
002275.SZ,79.83999999999999,79.83999999999999
002276.SZ,36.54,36.54
002277.SZ,43.60000000000001,43.60000000000001
002278.SZ,46.02,46.02
002279.SZ,38.07999999999999,38.07999999999999
002280.SZ,23.53,23.53
002281.SZ,54.97999999999999,54.97999999999999
002282.SZ,64.56,64.56
002283.SZ,40.599999999999994,40.599999999999994
002284.SZ,46.39,46.39
002285.SZ,60.61,60.61
002286.SZ,55.67,55.67
002287.SZ,88.63000000000001,88.63000000000001
002288.SZ,30.73,30.73
002289.SZ,48.800000000000004,48.800000000000004
002290.SZ,65.41,65.41
002291.SZ,52.15,52.15
002292.SZ,58.53,58.53
002293.SZ,64.21,64.21
002294.SZ,72.71999999999998,72.71999999999998
002295.SZ,51.91,51.91
002296.SZ,26.369999999999997,26.369999999999997
002297.SZ,41.94,41.94
002298.SZ,41.68000000000001,41.68000000000001
002299.SZ,45.37,45.37
002300.SZ,64.64,64.64
002301.SZ,57.129999999999995,57.129999999999995
002302.SZ,65.74,65.74
002303.SZ,51.92999999999999,51.92999999999999
002304.SZ,80.91999999999999,80.91999999999999
002305.SZ,53.64,53.64
